Temp (C) ,CTE (10e-6 1/K)
364.35808,9.96097
468.51021,10.77396
568.99186,11.44826
672.762,11.72646
774.69689,11.93531
874.96263,12.30734
975.14532,12.56311
1068.11991,12.72754
