Temp (C) ,CTE (10e-6 1/K)
47.54098,11.70886
99.18033,12.02532
148.36066,12.29958
199.18033,12.63713
248.36066,12.95359
298.36066,13.14346
348.36066,13.35443
397.54098,13.5443
448.36066,13.73418
498.36066,13.96624
548.36066,14.15612
598.36066,14.36709
