Temp(K),ThermalConductivity(W/m*K)
1311.74415,31.44537
1229.54914,32.72948
1130.34257,33.21444
1029.29247,33.8595
929.94351,33.58446
828.74352,33.42952
729.39457,33.15449
628.15711,32.79955
530.277,30.36445
