Temperature (K),Thermal Conductivity (W/m-K)
410.46374,34.75254
475.59708,34.47796
561.76599,31.74354
643.5906,32.34322
728.82413,31.71423
810.58638,31.78761
894.88453,33.26405
977.79002,32.98634
