Temperature (K),Thermal Conductivity (W/m-K)
0.0,29.65
52.63157894736842,26.709408614114377
105.26315789473684,24.768072451868846
157.89473684210526,23.631516025813184
210.52631578947367,23.12298194458299
263.1578947368421,23.083430912899683
315.7894736842105,23.37154173157051
368.4210526315789,23.863711297488504
421.05263157894734,24.45405460363257
473.6842105263158,25.054404739067376
526.3157894736842,25.59431288894345
578.9473684210526,26.021048334497124
631.578947368421,26.299598453050546
684.2105263157895,26.412668718011677
736.8421052631578,26.360682698874328
789.4736842105262,26.16178206121809
842.1052631578947,25.851826566708382
894.7368421052631,25.484394073096453
947.3684210526316,25.13078053421934
1000.0,24.88000000000001
