Temp(K),SpecificHeat(J/Kg*K)
297.71095,489.92629
376.27929,516.46192
576.49345,559.21376
674.61806,601.9656
771.33448,601.9656
819.07221,671.25307
869.11585,683.04668
966.96322,756.75676
482.00374,510.56511
