Temp (C) ,CTE (10e-6 1/K)
46.72131,10.59072
98.36066,10.90717
148.36066,11.07595
198.36066,11.28692
247.54098,11.47679
300,11.66667
349.18033,11.75105
398.36066,11.96203
447.54098,12.04641
499.18033,12.27848
549.18033,12.36287
599.18033,12.57384
