Temp(K),Emissivity
423.08864,0.09927
472.38641,0.10844
523.87098,0.11724
574.81033,0.12641
623.00779,0.13449
673.94517,0.1433
723.23308,0.15067
773.62425,0.15965
824.55473,0.1672
