Temp ( C ),ThermalConductivity (W/mK)
20.54795,28.15894
50.68493,28.88742
102.73973,29.74834
152.05479,30.27815
201.36986,30.34437
253.42466,30.21192
300,29.94702
352.05479,29.68212
401.36986,29.48344
450.68493,29.35099
502.73973,29.61589
552.05479,30.07947
601.36986,31.13907
